Data;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Mortes/Ano;47.215;54.694;55.847;59.730;58.459;61.597;64.078;57.592;47.742;50.448;47.503
Região Norte;3.303;5.833;5.902;6.261;6.742;7.422;7.872;8.074;6.454;5.758;6.291
Acre;148;189;215;204;234;368;530;417;296;322;192
Amazonas;1.102;1.160;985;1.201;1.447;1.189;1.285;1.234;1.172;1.121;1.670
Amapá;26;174;245;274;250;399;434;484;461;356;472
Pará;1.269;3.401;3.536;3.611;3.772;4.207;4.527;4.720;3.497;2.876;2.881
Rondônia;418;515;495;540;542;586;506;431;402;413;454
Roraima;60;72;107;78;102;212;211;384;219;212;232
Tocantins;280;322;319;353;395;461;379;404;407;458;390
Região Nordeste;19.934;20.724;22.274;23.737;23.500;24.814;27.288;23.474;18.190;22.147;20.500
Alagoas;2.401;2.171;2.273;2.201;1.808;1.878;1.926;1.499;1.095;1.249;1.069
Bahia;6.051;6.530;6.026;6.366;6.273;7.091;6.979;6.348;6.002;6.696;6.734
Ceará;2.762;3.734;4.432;4.492;4.130;3.566;5.329;4.788;2.359;4.183;3.418
Maranhão;1.546;1.666;1.782;2.158;2.280;2.342;2.058;1.779;1.562;2.041;2.021
Paraíba;1.667;1.540;1.537;1.513;1.502;1.324;1.286;1.210;942;1.166;1.161
Pernambuco;3.378;3.321;3.097;3.434;3.889;4.480;5.427;4.173;3.412;3.760;3.368
Piauí;349;529;551;734;673;703;653;621;587;707;782
Rio Grande do Norte;1.068;388;1.624;1.762;1.659;1.980;2.355;1.926;1.264;1.357;1.155
Sergipe;712;845;952;1.077;1.286;1.450;1.275;1.130;967;988;792
Região Centro-Oeste;3.290;5.120;5.225;5.666;5.574;5.467;4.850;4.778;4.100;4.231;3.706
Distrito Federal;761;871;743;767;694;659;557;505;461;425;347
Goiás;1.055;2.588;2.774;2.851;3.054;3.014;2.676;2.705;2.251;2.209;1.881
Mato Grosso do Sul;459;614;578;646;600;622;564;590;482;607;589
Mato Grosso;1.015;1.047;1.130;1.402;1.226;1.172;1.053;978;906;990;889
Região Sudeste;14.409;16.430;16.701;17.584;16.028;16.866;17.224;15.432;13.949;12.978;12.031
Espírito Santo;1.489;1.736;1.641;1.626;1.462;1.308;1.508;1.187;1.064;1.206;1.160
Minas Gerais;3.780;4.125;4.240;4.421;4.360;4.370;4.136;3.216;2.829;2.708;2.450
Rio de Janeiro;4.164;4.241;5.348;5.719;5.010;6.262;6.749;6.714;5.980;4.907;4.755
São Paulo;4.976;6.328;5.472;5.818;5.196;4.926;4.831;4.315;4.076;4.157;3.666
Região Sul;6.279;6.587;5.745;6.482;6.615;7.028;6.844;5.834;5.049;5.334;4.975
Paraná;3.475;3.453;2.874;2.870;2.840;2.940;2.557;2.409;2.219;2.490;2.407
Rio Grande do Sul;1.880;2.222;2.043;2.691;2.799;3.051;3.132;2.485;2.012;2.033;1.824
Santa Catarina;924;912;828;921;976;1.037;1.155;940;818;811;744
